asset_date,vcoin_id,currency,币种状态,开盘时间,官网,合约地址,official_twitter,family,chain_id,dex_chain_id,chain_source,chain_status
2026-05-31,9f8ab9d4f80e4d7fb7a51ba17758c493,LMAO,正常,2026-05-19 14:10:00,,H74CYmXgMkYHYuSRsZt6RJb4NYp2u72Vw8BS5huApump,https://x.com/theLMAOcoin,solana,solana,solana,address_format,
2026-05-31,8f8202b35b464911b9a980cfb07d1fe4,ATWO,正常,2026-05-18 20:00:00,https://arenatwo.com,0x499D35eBE6cEe9B2Ac35Fd003fcBbeeB9CFc7B32,https://twitter.com/arenatwoX,evm,56,56,goplus_probe,goplus_symbol_match
2026-05-31,42a2d05b68d8421ba39c17f47c32b6ad,VIM,正常,2026-05-18 17:00:00,https://www.vimverse.xyz,0xb32c20868b32fAc2fd6136c8A3CC4b31441DCdF4,https://x.com/vimverse_dao,evm,56,56,goplus_probe,goplus_symbol_match
2026-05-31,beb31b0f20a24e0daa9241a440c10f84,BOBO,正常,2026-05-18 16:00:00,,4nV5gNwwP68zUDat26ySChREqVaQaLudfJBkSgEzpump,,solana,solana,solana,address_format,
2026-05-31,fe4b69903d2f460ab5479e87a5b1f203,AEON,正常,2026-05-18 15:30:00,,0xBf8E8f0e8866a7052F948C16508644347c57aba3,https://x.com/aeonframework,evm,,,,unresolved_no_result
2026-05-31,67b1e3db609249b792c3eb692de728b3,AWF,正常,2026-05-18 11:15:00,,0x12a77658112Cf42914cB614D13653ed5852DA1e5,https://x.com/AWF_ETHCTO,evm,,,,unresolved_no_result
2026-05-31,80f5cb556ce74849a204e0ef26402810,DVERSE,正常,2026-05-16 18:00:00,http://degenverse.io,0xdceA459adDf6E7342adDD4832D21657A27A555f4,https://x.com/DegenVerseWeb3,evm,56,56,goplus_probe,goplus_symbol_match
2026-05-31,3f1ed26ab6e04d9db9869d20d2d3bafd,HOOLI,正常,2026-05-15 18:00:00,https://www.mypethooligan.com/en,FPJfY8mMTRwaePD2f46TFLqVov4X9svBaUgR1a8oTwTF,https://x.com/mypethooligan,solana,solana,solana,address_format,
2026-05-31,a2845faa96204d1baacae6427d815447,UBOX,正常,2026-05-15 17:00:00,http://ubox.network,0x626d16De9872D5c82dBaBC9ba9a5b2Ca2d95D99D,https://x.com/ubox_io,evm,,,,candidate_symbol_mismatch:56:UBX
2026-05-31,1fa3f5bd2c8c43e989afcaf9b1991885,STAR,正常,2026-05-14 22:00:00,https://www.starpower.world/,0x8fce7206E3043DD360F115AFa956EE31b90B787C,https://twitter.com/starpowerworld,evm,56,56,goplus_probe,goplus_symbol_match
2026-05-31,eb9c8b9cb9164faaa75aa3fa14e01e6a,BABYSHARK,正常,2026-05-14 16:00:00,https://www.babysharkuniverse.io,0x777BF78ad4546B61607A17BF4a1977dBbeA98c28,https://twitter.com/BSUniverse_OFCL,evm,56,56,goplus_probe,goplus_symbol_match
2026-05-31,f2ce0f6f2e7a4d74a2f4ed080321f3d3,GITLAWB,正常,2026-05-14 13:20:00,,0x5F980Dcfc4c0fa3911554cf5ab288ed0eb13DBa3,https://x.com/gitlawb,evm,,,,unresolved_no_result
2026-05-31,8625e22c929849f1ae95a4e541de109e,CLAWBANK,正常,2026-05-13 10:40:00,https://clawbank.co/,0x16332535E2c27da578bC2e82bEb09Ce9d3C8EB07,https://x.com/ClawBankHQ,evm,,,,unresolved_no_result
2026-05-31,8e73482973bd41be83697cdc15822412,ASTEROIDSOL,正常,2026-05-13 10:15:00,https://asteroid.charity/,4UeLCRqARmfb6e6KQijtiktqqXUxbfk6jZng7DhuBAGS,https://x.com/asteroid_bags,solana,solana,solana,address_format,
2026-05-31,8f0d086393f84c74aabe6354fda12e92,NXT,正常,2026-05-12 18:00:00,https://nexst.io/,0xaE7484d162ba80b340eBa7769A7A67838b1c16C1,https://x.com/NEXST_AI,evm,56,56,goplus_probe,goplus_symbol_match
2026-05-31,c86cd4d8edbd463f8681b8f544a6ffbf,HPP,正常,2026-05-12 18:00:00,https://www.hpp.io/,0xe33fbE7584EB79e2673abe576B7AC8C0De62565c,https://twitter.com/aergo_io,evm,1,1,goplus_probe,goplus_symbol_match
2026-05-31,16aaff71e3a14117b92e28c9b5207f42,RAGEGUY,正常,2026-05-12 16:10:00,,GvV7sFu6FHJsSVXfpG7xqFnWar3c7YkcC74rqe7Bpump,https://x.com/rageguy_og,solana,solana,solana,address_format,
2026-05-31,632207a7facc473a8c6339b43cf3cb1f,RKC,正常,2026-05-12 11:00:00,,7HgfXftRBBqsYtAEYcqjGLQrNJLL6Tww9ek4rE3Apump,,solana,solana,solana,address_format,
2026-05-31,b627143d4b1d447592015f50c3dcf554,BR,正常,2026-05-11 18:00:00,https://bedrockdao.com/,0xFf7d6A96ae471BbCD7713aF9CB1fEeB16cf56B41,https://twitter.com/Bedrock_DeFi,evm,56,56,goplus_probe,goplus_symbol_match
